statefip,year,state_name,state_abb,effective_mw,mw_change,mw_level_change,mw_pct_change,emp_pop_ratio_all,emp_pop_ratio_teen,emp_pop_ratio_young_adult,emp_pop_ratio_prime_age,emp_pop_ratio_lt_hs,emp_pop_ratio_no_ba,emp_pop_ratio_male,emp_pop_ratio_female,emp_pop_ratio_teen_male,emp_pop_ratio_teen_female,lfpr_all,lfpr_teen,unemp_rate_all,unemp_rate_teen,pop_all,pop_teen,pop_young_adult,pop_lt_hs,pop_no_ba,n_obs_all,n_obs_teen,n_obs_young_adult,emplvl_total_private,emplvl_food_services,emplvl_retail,emplvl_accommodation_food,wkly_wage_total_private,wkly_wage_food_services
1,2008,Alabama,AL,6.55,1,0.7,0.1197,0.575684,0.298459,0.627564,0.752772,0.338076,0.539256,0.638300,0.519459,0.322860,0.275696,0.609875,0.370771,0.056062,0.195031,43103820,3051607,4082914,8278163,34371286,13942,965,1134,1570188,140905,237974,156709,726,241
1,2009,Alabama,AL,7.25,1,0.7,0.1069,0.526350,0.279197,0.577173,0.692148,0.276917,0.481228,0.589291,0.469863,0.289571,0.268350,0.592399,0.386935,0.111494,0.278441,43480257,3099336,4049394,8325111,34818038,14381,986,1131,1462992,136933,225230,152204,737,250
1,2010,Alabama,AL,7.25,0,0.0,0.0,0.534642,0.224265,0.556566,0.700678,0.262305,0.489047,0.583127,0.491025,0.211830,0.236505,0.598297,0.322772,0.106393,0.305192,43862067,2813191,3716271,8574072,35512886,14341,858,989,1444072,135611,223466,151060,755,259
1,2011,Alabama,AL,7.25,0,0.0,0.0,0.538275,0.255640,0.573264,0.701649,0.277873,0.491613,0.590604,0.491199,0.261306,0.249150,0.597478,0.325537,0.099087,0.214713,44012661,3175250,3529631,8487675,35002646,14132,945,944,1449005,137706,224989,153309,771,263
1,2012,Alabama,AL,7.25,0,0.0,0.0,0.538979,0.248830,0.568357,0.711627,0.274064,0.485529,0.599920,0.484109,0.223775,0.273031,0.585684,0.297598,0.079745,0.163873,45028913,3330790,3637885,7919316,34996354,13801,902,906,1467367,142251,224241,158125,790,268
1,2013,Alabama,AL,7.25,0,0.0,0.0,0.535495,0.204931,0.602647,0.707804,0.262438,0.483688,0.586198,0.489832,0.170828,0.238830,0.576169,0.274139,0.070595,0.252459,45224388,2851989,4271129,7847735,34956579,13680,808,1020,,,,,,
1,2014,Alabama,AL,7.25,0,0.0,0.0,0.531303,0.186650,0.600740,0.725613,0.244294,0.486614,0.587902,0.480289,0.147458,0.224001,0.571708,0.258573,0.070674,0.278152,45482200,2872501,4197834,8124865,35459580,17334,1047,1337,1504320,151378,227687,167656,815,274
1,2015,Alabama,AL,7.25,0,0.0,0.0,0.537356,0.267698,0.593037,0.734130,0.299724,0.491720,0.595904,0.484787,0.264076,0.271410,0.571876,0.314582,0.060361,0.149037,45687785,3269301,4113267,8379829,35291923,23547,1540,1691,1532167,156713,231062,173275,834,283
1,2016,Alabama,AL,7.25,0,0.0,0.0,0.538335,0.270671,0.624788,0.725324,0.293309,0.496839,0.597362,0.485313,0.249101,0.291672,0.572839,0.331234,0.060234,0.182839,45891465,2910106,4294972,7891607,35391775,25324,1492,1905,1555542,161553,233000,178706,844,291
1,2017,Alabama,AL,7.25,0,0.0,0.0,0.546376,0.249324,0.640509,0.734930,0.281601,0.502259,0.610757,0.488547,0.243891,0.254602,0.570917,0.291612,0.042985,0.145014,46007900,3110925,3847790,7192859,35292149,25433,1594,1712,,,,,,
1,2018,Alabama,AL,7.25,0,0.0,0.0,0.553446,0.280602,0.635672,0.741045,0.270740,0.504947,0.625229,0.489014,0.316384,0.246997,0.575995,0.319607,0.039147,0.122041,46159195,2788316,4038595,6994894,34936908,24231,1379,1770,1598129,166971,230987,184917,895,310
1,2019,Alabama,AL,7.25,0,0.0,0.0,0.567435,0.281062,0.642214,0.761611,0.280259,0.509292,0.634387,0.507415,0.267613,0.295061,0.585444,0.315685,0.030762,0.109675,46331886,2903208,3755075,6916186,34388415,23557,1372,1597,1622460,168913,230923,187175,923,323
1,2020,Alabama,AL,7.25,0,0.0,0.0,0.542572,0.332490,0.618716,0.738439,0.295217,0.491491,0.600572,0.490646,0.309130,0.358982,0.576550,0.366163,0.058932,0.091961,46538681,3121217,3794276,6176409,34093128,21609,1307,1408,1547125,146241,224961,160599,989,344
1,2021,Alabama,AL,7.25,0,0.0,0.0,0.546976,0.291523,0.640512,0.751291,0.283913,0.503123,0.610501,0.490196,0.282424,0.300304,0.567295,0.311149,0.035817,0.063075,46774003,3070786,3585819,6233761,34295941,22723,1375,1463,,,,,,
1,2022,Alabama,AL,7.25,0,0.0,0.0,0.560917,0.294117,0.646878,0.763624,0.320983,0.521160,0.629324,0.498927,0.284053,0.303702,0.575610,0.317104,0.025526,0.072491,48047046,3236442,3505132,6687139,35094380,21831,1312,1326,1660156,159947,236443,176566,1091,409
2,1990,Alaska,AK,4.3,1,0.45,0.1169,0.674079,0.427306,0.664821,0.768078,0.581224,0.625915,0.741360,0.608529,0.414028,0.441584,0.725611,0.516634,0.071019,0.172904,4454009,367625,436759,2314036,3337588,18604,1436,1882,165413,,25896,18421,547,
2,1991,Alaska,AK,4.75,1,0.45,0.1047,0.658488,0.378785,0.626961,0.760432,0.565422,0.602592,0.721795,0.599523,0.401527,0.357145,0.721161,0.481217,0.086906,0.212861,4580985,379332,430719,2366844,3393408,18097,1398,1721,168745,,26447,18531,559,
2,1992,Alaska,AK,4.75,0,0.0,0.0,0.663201,0.396314,0.640855,0.767125,0.349152,0.615124,0.720415,0.608856,0.378815,0.412347,0.729478,0.496705,0.090855,0.202114,4739988,374873,491827,681391,3724110,17572,1293,1849,172052,,26897,18691,574,
2,1993,Alaska,AK,4.75,0,0.0,0.0,0.677637,0.410546,0.696645,0.769167,0.343578,0.631031,0.736403,0.619398,0.395025,0.429141,0.736789,0.512741,0.080283,0.199312,4849022,368726,512071,667504,3806877,17377,1253,1734,176814,,27801,19024,580,
2,1994,Alaska,AK,4.75,0,0.0,0.0,0.683416,0.396777,0.683854,0.771333,0.354201,0.636538,0.738140,0.629972,0.394899,0.398654,0.741641,0.495224,0.078509,0.198793,4959016,375630,472461,688566,3886953,15558,1164,1449,183783,,30375,20169,583,
2,1995,Alaska,AK,4.75,0,0.0,0.0,0.675471,0.427938,0.648868,0.772539,0.383071,0.635546,0.728318,0.624324,0.411268,0.445574,0.729073,0.510995,0.073520,0.162541,5038763,429310,402810,725487,3894537,13112,1049,1074,187148,,31043,20576,584,
2,1996,Alaska,AK,5.25,1,0.5,0.1053,0.683964,0.392199,0.602594,0.785034,0.354905,0.637969,0.728264,0.640323,0.375957,0.408899,0.742126,0.494720,0.078372,0.207229,5054976,403388,440147,675141,3879442,12544,941,1060,188984,,31342,20735,588,
2,1997,Alaska,AK,5.65,1,0.4,0.0762,0.684824,0.400583,0.683292,0.792241,0.376347,0.645639,0.730638,0.638320,0.396709,0.405140,0.743488,0.509732,0.078904,0.214130,5210000,486244,413895,743403,4078509,12966,1146,987,193797,,31954,21724,598,
2,1998,Alaska,AK,5.65,0,0.0,0.0,0.700465,0.416007,0.739908,0.804516,0.425272,0.666691,0.756018,0.644997,0.384257,0.454319,0.743351,0.503144,0.057693,0.173185,5162981,455866,420058,688097,4039876,12523,1034,975,198940,,32317,22544,617,
2,1999,Alaska,AK,5.65,0,0.0,0.0,0.690362,0.439311,0.692483,0.794376,0.408791,0.660757,0.751513,0.630758,0.420525,0.460190,0.737817,0.525365,0.064318,0.163799,5142992,473466,411263,697870,4036639,12970,1127,975,200965,,33141,23222,622,
2,2000,Alaska,AK,5.65,0,0.0,0.0,0.682429,0.426519,0.677580,0.787907,0.396936,0.653440,0.732968,0.633263,0.409607,0.444208,0.731776,0.514884,0.067435,0.171620,5255991,512853,424834,760977,4073491,13117,1196,1009,206607,,33124,23892,645,
2,2001,Alaska,AK,5.65,0,0.0,0.0,0.685541,0.419080,0.656470,0.805095,0.424787,0.650824,0.735593,0.634571,0.413340,0.425564,0.733454,0.514173,0.065325,0.184944,5334010,509266,459305,787216,4076618,16346,1479,1356,209521,17187,33217,24249,674,273
2,2002,Alaska,AK,5.65,0,0.0,0.0,0.665720,0.409775,0.628624,0.788275,0.396656,0.626195,0.708709,0.622195,0.385476,0.437125,0.722191,0.517939,0.078194,0.208834,5421717,515950,445229,787647,4231956,18155,1708,1477,211903,17728,33904,24940,691,283
2,2003,Alaska,AK,7.15,1,1.5,0.2655,0.656095,0.363246,0.615142,0.794961,0.395465,0.615678,0.685441,0.626476,0.338129,0.390636,0.714803,0.467174,0.082132,0.222461,5540960,529223,452283,823861,4334176,18419,1738,1440,215626,18056,34118,25697,702,296
2,2004,Alaska,AK,7.15,0,0.0,0.0,0.650668,0.366438,0.640657,0.775830,0.384834,0.609957,0.699810,0.601393,0.346832,0.387461,0.704882,0.474712,0.076911,0.228084,5607813,466952,531790,793810,4339449,18314,1528,1617,220849,18286,34878,26229,725,307
2,2005,Alaska,AK,7.15,0,0.0,0.0,0.675056,0.433641,0.660379,0.797933,0.385855,0.635460,0.716269,0.633873,0.371848,0.507169,0.723633,0.532056,0.067129,0.184972,5713831,479709,561386,741875,4321818,17082,1358,1559,226441,18822,35755,26690,746,309
2,2006,Alaska,AK,7.15,0,0.0,0.0,0.672703,0.435705,0.705433,0.775903,0.385337,0.639393,0.711970,0.633319,0.403932,0.469224,0.723830,0.512253,0.070633,0.149433,5825642,469234,566668,740639,4430089,16878,1336,1497,231542,19158,35771,27118,780,317
2,2007,Alaska,AK,7.15,0,0.0,0.0,0.661663,0.380900,0.683204,0.784836,0.384628,0.628174,0.698723,0.624516,0.350461,0.414728,0.706791,0.467996,0.063850,0.186105,5921265,499547,550453,753275,4499933,16897,1370,1405,234309,19476,36005,27663,827,330
2,2008,Alaska,AK,7.15,0,0.0,0.0,0.667899,0.394827,0.670676,0.794673,0.376901,0.631484,0.711812,0.623095,0.354334,0.438594,0.715774,0.475805,0.066886,0.170192,6072900,537218,613052,744623,4688931,16639,1337,1483,237708,19367,36214,27653,867,341
2,2009,Alaska,AK,7.25,1,0.1,0.014,0.650531,0.374842,0.669402,0.776871,0.376435,0.611517,0.684177,0.616027,0.351433,0.405595,0.707257,0.439893,0.080206,0.147879,6091363,497659,609710,785603,4643751,16620,1237,1469,234919,18879,35587,26622,890,342
2,2010,Alaska,AK,7.75,1,0.5,0.069,0.643085,0.358890,0.653680,0.772773,0.356313,0.606226,0.673297,0.612043,0.320135,0.409971,0.698797,0.440921,0.079725,0.186044,6266292,506526,578630,823166,4854387,16380,1198,1347,237454,19288,35430,27024,907,351
2,2011,Alaska,AK,7.75,0,0.0,0.0,0.644474,0.320555,0.669840,0.779042,0.314809,0.602956,0.682885,0.604569,0.286493,0.357182,0.698187,0.402160,0.076933,0.202917,6327831,544051,631598,802408,4854063,15648,1207,1320,243086,19906,35718,27737,927,361
2,2012,Alaska,AK,7.75,0,0.0,0.0,0.630499,0.296898,0.656353,0.768347,0.327475,0.583339,0.662456,0.597552,0.241747,0.357230,0.681652,0.372234,0.075042,0.202389,6426727,526404,572991,827167,4884383,15052,1135,1177,248576,20344,35767,28410,954,368
2,2013,Alaska,AK,7.75,0,0.0,0.0,0.632238,0.352192,0.655308,0.772195,0.361015,0.587245,0.666535,0.596670,0.329079,0.380353,0.677592,0.426220,0.066934,0.173687,6502481,538531,622662,777385,4803959,14813,1090,1170,,,,,,
2,2014,Alaska,AK,7.75,0,0.0,0.0,0.632013,0.334442,0.652554,0.767740,0.358555,0.585405,0.659049,0.603741,0.315196,0.361952,0.680466,0.413516,0.071207,0.191223,6465943,492580,641764,748549,4785393,14725,1040,1228,253462,20915,36730,29334,1012,395
2,2015,Alaska,AK,8.75,1,1.0,0.129,0.625148,0.339371,0.664089,0.751591,0.385981,0.583322,0.658905,0.589612,0.356681,0.315438,0.672460,0.399257,0.070356,0.149996,6483386,446468,629849,782696,4788124,14563,953,1237,255274,21516,37412,30168,1039,411
2,2016,Alaska,AK,9.75,1,1.0,0.1143,0.617962,0.282539,0.648574,0.764073,0.326814,0.566006,0.641221,0.593360,0.286518,0.278168,0.663002,0.353890,0.067933,0.201620,6512242,459647,631248,786506,4638235,14859,975,1333,250255,21696,37041,30348,1006,416
2,2017,Alaska,AK,9.8,1,0.05,0.0051,0.617451,0.248745,0.657650,0.757230,0.275340,0.577796,0.630158,0.604244,0.179944,0.333368,0.670021,0.337281,0.078460,0.262500,6557786,471276,630785,723339,4799365,14024,969,1167,,,,,,
2,2018,Alaska,AK,9.84,1,0.04,0.0041,0.611055,0.290948,0.646782,0.760468,0.283094,0.577921,0.633802,0.587413,0.219772,0.373146,0.654019,0.360912,0.065693,0.193854,6553099,446476,599832,677360,4837828,13581,904,1119,246319,21706,35828,30508,1046,431
2,2019,Alaska,AK,9.89,1,0.05,0.0051,0.593802,0.344632,0.648146,0.754606,0.313171,0.554025,0.618227,0.568452,0.318428,0.375892,0.632679,0.405828,0.061449,0.150793,6557306,478751,593068,690254,4746403,13561,909,1111,249300,21991,35574,31166,1085,445
2,2020,Alaska,AK,10.19,1,0.3,0.0303,0.583032,0.287377,0.602794,0.745496,0.321079,0.538726,0.598837,0.566623,0.213941,0.365911,0.631161,0.366581,0.076255,0.216062,6522501,450660,507758,616503,4682640,12255,808,830,225077,17506,33465,23264,1170,444
2,2021,Alaska,AK,10.34,1,0.15,0.0147,0.600137,0.340561,0.658546,0.748582,0.353927,0.552419,0.620512,0.578929,0.354878,0.327688,0.644868,0.382511,0.069364,0.109671,6531313,429672,493695,622626,4676402,11751,719,784,,,,,,
2,2022,Alaska,AK,10.34,0,0.0,0.0,0.616088,0.315693,0.676764,0.770700,0.319790,0.571844,0.646927,0.583674,0.311211,0.320649,0.645239,0.372085,0.045178,0.151557,6581503,431631,588730,655182,4628452,11051,661,877,241031,21144,34937,29491,1247,536
4,1990,Arizona,AZ,3.8,1,0.45,0.1343,0.616595,0.464488,0.740820,0.812682,0.530211,0.583920,0.698242,0.542250,0.488170,0.438230,0.652429,0.561234,0.054924,0.172380,33167055,2714127,3239277,17935987,25806801,14349,1118,1312,1240236,99364,199477,138114,402,144
4,1991,Arizona,AZ,4.25,1,0.45,0.1184,0.593417,0.389761,0.694831,0.800499,0.500530,0.561086,0.667582,0.525194,0.413021,0.364914,0.630678,0.494289,0.059082,0.211471,33655879,2430849,2980833,17764410,25777888,13797,954,1124,1231080,99414,193931,137379,417,152
4,1992,Arizona,AZ,4.25,0,0.0,0.0,0.585372,0.355564,0.662862,0.789390,0.348852,0.554530,0.660522,0.514397,0.353293,0.358265,0.633105,0.506652,0.075395,0.298208,34400899,2346474,3021261,7226575,27575830,13426,860,1118,1256300,103454,193452,142086,438,160
4,1993,Arizona,AZ,4.25,0,0.0,0.0,0.584177,0.435068,0.697150,0.777253,0.360584,0.553925,0.676555,0.500400,0.466692,0.409070,0.622978,0.514977,0.062284,0.155170,35221124,2093260,2873918,6632835,28057353,13475,757,996,1315737,110321,199422,150939,446,165
4,1994,Arizona,AZ,4.25,0,0.0,0.0,0.614174,0.498940,0.730096,0.793838,0.422932,0.591465,0.698473,0.535179,0.489880,0.507499,0.654992,0.621132,0.062319,0.196725,36470112,2622811,3159111,7278314,29730070,13995,944,1115,1408912,118629,214493,159509,461,172
4,1995,Arizona,AZ,4.25,0,0.0,0.0,0.644448,0.517914,0.730907,0.815520,0.465511,0.621624,0.731719,0.563565,0.614934,0.420098,0.678180,0.632752,0.049739,0.181490,37506363,2634948,3818949,7336191,30448600,15177,1008,1419,1508714,126735,224238,169200,479,176
4,1996,Arizona,AZ,4.75,1,0.5,0.1176,0.628691,0.450504,0.729650,0.795416,0.444489,0.605066,0.714304,0.548752,0.497144,0.398535,0.665273,0.532312,0.054987,0.153685,38723777,2912495,4261485,8036294,31365182,16115,1162,1680,1602733,134090,231488,177653,499,185
4,1997,Arizona,AZ,5.15,1,0.4,0.0842,0.608709,0.424020,0.776092,0.771388,0.457177,0.587536,0.694706,0.526962,0.460579,0.378849,0.639848,0.504143,0.048666,0.158928,42026003,3586116,4239589,9590490,34352979,16648,1356,1586,1686517,140315,240536,185387,523,196
4,1998,Arizona,AZ,5.15,0,0.0,0.0,0.622250,0.436638,0.752848,0.792281,0.465476,0.596695,0.706573,0.543743,0.448393,0.425487,0.649600,0.524131,0.042103,0.166930,41679803,3536674,4071599,9950797,33675741,16863,1362,1529,1777442,145040,249082,191156,554,206
4,1999,Arizona,AZ,5.15,0,0.0,0.0,0.631528,0.443654,0.734620,0.795937,0.494291,0.607780,0.717752,0.553443,0.461785,0.425493,0.660723,0.514680,0.044187,0.137999,43481829,3674565,4412562,10236201,34888154,17702,1419,1648,1846018,149652,257796,195707,579,216
4,2000,Arizona,AZ,5.15,0,0.0,0.0,0.626000,0.467400,0.690149,0.795198,0.484789,0.598130,0.714955,0.544246,0.483884,0.452026,0.651721,0.509737,0.039467,0.083057,46015802,3635342,4641343,10210584,35921302,17887,1361,1717,1908425,153611,267666,200622,623,226
4,2001,Arizona,AZ,5.15,0,0.0,0.0,0.626472,0.465295,0.742595,0.796381,0.466106,0.601898,0.717030,0.539613,0.518744,0.405106,0.657711,0.533355,0.047497,0.127607,46262862,3584456,4617872,9557250,35695041,16649,1261,1554,1891537,155618,268394,200944,638,233
4,2002,Arizona,AZ,5.15,0,0.0,0.0,0.617153,0.349042,0.717650,0.789930,0.444993,0.587840,0.705743,0.529064,0.393241,0.299636,0.658392,0.463469,0.062636,0.246893,47298570,4021777,4420328,9507238,36560177,17318,1439,1463,1876764,158656,271053,201279,647,239
4,2003,Arizona,AZ,5.15,0,0.0,0.0,0.616520,0.376995,0.698575,0.784056,0.431066,0.580607,0.700400,0.535948,0.395778,0.358517,0.653774,0.475670,0.056983,0.207445,48677812,3665304,4542787,9577366,37698956,17558,1368,1617,1902998,160277,276577,203668,665,246
4,2004,Arizona,AZ,5.15,0,0.0,0.0,0.613212,0.375394,0.686742,0.770677,0.454847,0.580406,0.689531,0.539470,0.327355,0.424332,0.647065,0.476681,0.052317,0.212484,50843874,3324005,4675354,10436388,39097798,17283,1181,1476,1980818,167194,289481,211490,696,254
4,2005,Arizona,AZ,5.15,0,0.0,0.0,0.610716,0.397353,0.673372,0.784097,0.436092,0.577091,0.693416,0.530770,0.382013,0.413590,0.640664,0.464029,0.046745,0.143689,52712285,3704148,4548709,10812091,40634401,16926,1218,1337,2107545,177103,307810,222081,725,264
4,2006,Arizona,AZ,5.15,0,0.0,0.0,0.619905,0.416487,0.691975,0.787382,0.445830,0.593225,0.706982,0.535449,0.462114,0.364044,0.648484,0.481880,0.044070,0.135703,55075209,4317786,4953023,11764172,43357734,16836,1363,1421,2225734,186220,322575,232898,760,276
4,2007,Arizona,AZ,6.75,1,1.6,0.3107,0.619234,0.347435,0.680088,0.783767,0.439127,0.588169,0.702691,0.538096,0.391685,0.304839,0.644001,0.402418,0.038458,0.136632,57231242,4216903,5193634,12001217,44588823,16403,1225,1378,2248274,189302,332172,237191,789,297
4,2008,Arizona,AZ,6.9,1,0.15,0.0222,0.607228,0.316310,0.653425,0.770183,0.413057,0.573035,0.672209,0.543980,0.314456,0.318253,0.646857,0.397909,0.061264,0.205069,58417831,4180595,4829829,11382164,44386724,15265,1116,1185,2174919,186460,322090,234255,806,299
4,2009,Arizona,AZ,7.25,1,0.35,0.0507,0.577435,0.236971,0.626294,0.724740,0.379599,0.531372,0.633032,0.523360,0.258219,0.215932,0.641811,0.341278,0.100303,0.305637,59588563,4180605,5218321,10939192,44561446,14709,1046,1181,1993844,178892,297683,222753,811,301
4,2010,Arizona,AZ,7.25,0,0.0,0.0,0.566337,0.218064,0.604526,0.718641,0.328530,0.519338,0.624243,0.509775,0.229467,0.208145,0.633423,0.317883,0.105910,0.314010,60244245,4113141,5280925,10456724,44900199,15297,1047,1178,1958428,178322,292739,220484,824,307
4,2011,Arizona,AZ,7.35,1,0.1,0.0138,0.555376,0.241485,0.604252,0.717820,0.345206,0.506126,0.611194,0.500612,0.222695,0.261346,0.615002,0.324546,0.096952,0.255930,61116043,4306864,5383262,10783624,45344368,15587,1095,1174,1992727,183388,294957,226064,848,309
4,2012,Arizona,AZ,7.65,1,0.3,0.0408,0.556050,0.257868,0.632407,0.725537,0.363935,0.517078,0.617333,0.497876,0.244864,0.272062,0.605994,0.359170,0.082416,0.282044,59839100,4111387,5285802,11035770,44619688,15508,1052,1197,2045349,189229,297013,231784,870,316
4,2013,Arizona,AZ,7.8,1,0.15,0.0196,0.549615,0.223163,0.593302,0.721425,0.359899,0.502898,0.606590,0.495585,0.232473,0.213260,0.598231,0.318282,0.081267,0.298851,60802091,4179346,5104331,11794641,45863083,15136,1001,1099,,,,,,
4,2014,Arizona,AZ,7.9,1,0.1,0.0128,0.559667,0.266078,0.619374,0.745081,0.355182,0.513609,0.618717,0.503612,0.284629,0.245349,0.602720,0.341198,0.071431,0.220166,61720600,4643999,5580160,11666836,45990317,16983,1284,1355,2153171,204112,312048,247893,895,327
4,2015,Arizona,AZ,8.05,1,0.15,0.019,0.563858,0.302134,0.637711,0.738946,0.398985,0.526096,0.622909,0.507937,0.309843,0.294487,0.600919,0.365710,0.061674,0.173843,63072345,4392331,5340468,11861812,46106350,19477,1449,1539,2224536,213158,320213,258184,913,339
4,2016,Arizona,AZ,8.05,0,0.0,0.0,0.575737,0.322605,0.643841,0.763433,0.396674,0.536730,0.643604,0.511431,0.302623,0.342142,0.606899,0.375987,0.051346,0.141978,64326589,4409793,5812974,10628078,46015739,20014,1450,1706,2294353,221257,325565,266449,925,344
4,2017,Arizona,AZ,10.0,1,1.95,0.2422,0.578498,0.309944,0.686116,0.771795,0.380337,0.544841,0.641464,0.518716,0.281834,0.338184,0.607730,0.368359,0.048101,0.158583,65628875,4761756,5714792,10741689,46211714,18533,1316,1448,,,,,,
